name,leaning
"batr.net","right"
"batr.org/commentary.html","right"
"battlegroundstates.blogspot.com","left"
"battleground-wisconsin.blogspot.com","left"
"beastsbelly.blogspot.com","left"
"beautifulatrocities.com","right"
"beefalwayswins.blogspot.com","right"
"beldar.blogs.com/beldarblog","right"
"bellusbellum.info","right"
"belmontclub.blogspot.com","right"
"bensgtusmc.com","right"
"bensworld.patriotforum.org","right"
"bentcorner.blogspot.com","left"
"bernardmoon.blogspot.com","right"
"betsyspage.blogspot.com","right"
"bettyblog.com","left"
"bidinotto.journalspace.com","right"
"bigbloosky.blogspot.com","left"
"bigenchilada.org","right"
"bigfatroid.blogspot.com","right"
"bigjourney.blogspot.com","right"
"billhobbs.com","right"
"billmon.org","left"
"billrice.org","right"
"billroggio.com/easongate","right"
"billsrants.blogspot.com","left"
"bitheads.blogspot.com","right"
"bittersweetme.net/blog/index.php","right"
"bkennelly.com/vox","right"
"blackmanforbush.blogspot.com","right"
"blackwingleftbird.blogspot.com","left"
"blindmindseye.com","right"
"blithered.blogspot.com","right"
"blog01.kintera.com/dnccblog","left"
"blog01.kintera.com/emilysblog","left"
"bloganonymous.com","left"
"blog.dccc.org","left"
"blog.dennisfox.net","left"
"blogforamerica.com","left"
"blogforarizona.com","left"
"blogfreeordie.blogspot.com","left"
"blog.glinka.com","left"
"bloghogger.blogspot.com","right"
"blog.iainlindley.com","right"
"blogicus.com","right"
"blogitics.com","left"
"blog.johnkerry.com","left"
"blog.kenlan.net","left"
"blog.mintruth.com","left"
"blog.mytechaid.com","right"
"blog.nam.org","right"
"blog.ncsweb.us","right"
"blogodob.blogspot.com","right"
"blogsagainsthillary.com","right"
"blogs.blogosphere.ca/brock","right"
"blogsforbush.com","right"
"blogslut.com","left"
"blog.so-amazing.net","right"
"blogsofwar.com","right"
"blogspirator.blogspot.com","right"
"blogs.salon.com/0002874","left"
"blogs.salon.com/0003364","left"
"blogs.salon.com/0004024","left"
"blog.veggiedude.com","left"
"blog.willrobinson47.com","right"
"blosteam.blogspot.com","left"
"blotts.org/polilog","left"
"blubberhollow.com/blog","right"
"blue6golf.blogspot.com","right"
"bluegoldfish.blogs.com/surface","right"
"bluegrassroots.blogspot.com","left"
"bluelemur.com","left"
"blueoregon.com","left"
"bluestateredstate.blogspot.com","left"
"bluestates.blogspot.com","right"
"bobhayes.net","right"
"bodyandsoul.typepad.com","left"
"boffo.typepad.com","left"
"boloboffin.blogspot.com","left"
"boottotheskull.com","right"
"bopnews.com","left"
"borgardblog.blogspot.com","right"
"boston.com/news/blogs/dnc","left"
"bowles2004.com/weblog","left"
"boycottsbg.com","left"
"b-patton.blogspot.com","left"
"bradcarson.com/blog","left"
"bradfriedman.com/bradblog","left"
"brainshavings.com","right"
"brendonsspiderhole.blogspot.com","right"
"brianhull.net","left"
"brianlarry.com","right"
"brianscott.blogspot.com","right"
"brilliantatbreakfast.blogspot.com","left"
"browncross.com/usualsuspects","left"
"brunon.blogspot.com","left"
"brutallyhonest.org","right"
"bryan08.tk","left"
"btcnews.com/btcnews","left"
"buckeyepundit.blogspot.com","right"
"bullmooseblog.com","left"
"bullmooserepublicans.com/blog","right"
"burntorangereport.com","left"
"bushblog.us","right"
"bushlies.net/pages/10/index.htm","left"
"bushmisunderestimated.blogspot.com","left"
"busybusybusy.com","left"
"buzzmachine.com","left"
"cadat.nl","left"
"californiaconservatives4truth.blogspot.com","right"
"calirep.blogspot.com","right"
"calpoly.edu/~doleary/blog.htm","right"
"campaignofone.org/blog/index.asp","right"
"captainsquartersblog.com/mt","right"
"carpetblogger.com","left"
"catchingsmoke.blogspot.com","left"
"catscape.com","right"
"cayankee.blogs.com","right"
"cbaker.org/blog","left"
"cbcbcbcb.blogspot.com","right"
"ccs178.com","right"
"cdharris.net","right"
"cecile.squarespace.com","right"
"celluloid-wisdom.com/pw/","right"
"celluloid-wisdom.com/pw","right"
"cemonitor.blogspot.com","left"
"centerpiece.blogspot.com","left"
"centinel.blogspot.com","right"
"chadster.capitalfocus.org","right"
"chainik_hocker.blogspot.com","right"
"chak.org/blog","left"
"changeforamerica.com/blog","left"
"charlesking.blogspot.com","right"
"charleypatton.blogspot.com","left"
"charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48","left"
"chepooka.com","left"
"chestnut_tree.blogspot.com","left"
"chiefsblog.blogspot.com","right"
"chiron.typepad.com","left"
"chrenkoff.blogspot.com","right"
"christian-patriot.blogspot.com","right"
"churchofcriticalthinking.com","left"
"civicactions.com","left"
"civilcommotion.com","right"
"cjh9999.blog-city.com","left"
"clarified.blogspot.com","left"
"claudialong.com/blog","left"
"claycalhoun.com","right"
"claytoncorner.blogspot.com","right"
"cleancutkid.com","left"
"clubforgrowth.org/blog","right"
"cmillertime.blogspot.com","right"
"cnle.net","left"
"coffee.ondragonswing.com","right"
"collegedems.com/blog","left"
"commonsenserunswild.typepad.com","right"
"confederateyankee.blogspot.com","right"
"conniptions.net","left"
"conpro.blogspot.com","right"
"conservativeblogger.com","right"
"conservativecat.com","right"
"conservativecitizen.blogspot.com","right"
"conservativedhc.blogspot.com","right"
"conservativedialysis.com","right"
"conservativeeyes.blogspot.com","right"
"conservativelife.com/blog","right"
"conservativenation.us","right"
"conservativeobserver.blogspot.com","right"
"conservativepolitics.blogspot.com","right"
"conservativepunk.com","right"
"conservativepush.blogspot.com","right"
"conservativeresponse.com","right"
"conservativerevolution.com","right"
"conservativessuck.blogspot.com","left"
"conservativevor.blogdrive.com","right"
"conservativezone.blogspot.com","right"
"contrapositive.blogspot.com","left"
"corrente.blogspot.com","left"
"counterspin.blogspot.com","left"
"courtney5.us/drew","left"
"coxandforkum.com","right"
"c-pol.blogspot.com","right"
"cptnwinky.com","right"
"crankybastard.blogspot.com","right"
"crankylittleblog.blogspot.com","left"
"crankyneocon.com/crankyneocon","right"
"crapiscommon.blogspot.com","left"
"criticalbill.blogspot.com","right"
"criticalviewer.com","left"
"crookedtimber.org","left"
"crooksandliars.com","left"
"cruelkev.blogspot.com","right"
"cubanstories.blogspot.com","right"
"cybermenace.blogspot.com","right"
"cynicalnation.com","right"
"cynscorion.com/v-web/b2/index.php","right"
"d-42.com","right"
"daddypundit.blogspot.com","right"
"dadougster.blogspot.com","right"
"dailyblatt.blogspot.com","left"
"dailyblurb.blogspot.com","left"
"dailyhowler.com","left"
"dailykos.com","left"
"dailypundit.com","right"
"dailyrecycler.com/blog","right"
"dailywarnews.blogspot.com","left"
"daisycutter.blogspot.com","right"
"dalythoughts.com","right"
"damntheman.net","left"
"danieldrezner.com/blog","right"
"danzfamily.com","right"
"dartblog.com","right"
"dashnier.blogspot.com","left"
"datingrepublicans.com","right"
"davidsirota.com","left"
"dawnofnewamerica.blogspot.com","left"
"deadcantrant.com/blog","right"
"deanesmay.com","right"
"deanocrats.com","left"
"deansjournal.blogspot.com","right"
"deathpenaltyusa.blogspot.com","left"
"debunker.net","left"
"decision08.blogspot.com","right"
"decksitters.my-expressions.com","left"
"dedspace.blogspot.com","left"
"delraysteve.com/blog","left"
"demagogue.blogspot.com","left"
"demleft.blogspot.com","left"
"democrants.blogspot.com","left"
"democraticunderground.com","left"
"democratreport.blogspot.com","left"
"democrats.org/blog","left"
"democratvoice.org","left"
"demoliberal.blogspot.com","left"
"dems2000.net","left"
"dems2004.com/blog","left"
"dems2004.org/blog","left"
"denbeste.nu","right"
"denisdekat.com","left"
"depressedlonelybored.typepad.com","right"
"deserttusk.blogspot.com","right"
"devildawg.blogspot.com","right"
"dewar.journalspace.com","left"
"dgci.blog-city.com","right"
"dgci.net","right"
"digbysblog.blogspot.com","left"
"digestiblenews.blogspot.com","left"
"diggersrealm.com/mt","right"
"digital-democrat.blogspot.com","left"
"digitaldissent.blogspot.com","left"
"digitaljay.blogspot.com","left"
"dilusionl.blogspot.com","right"
"dimmykarras.blogspot.com","left"
"diplomadic.blogspot.com","right"
"dir.salon.com/topics/joe_conason/index.html","left"
"discerningtexan.blogspot.com","right"
"discountblogger.com","right"
"discourse.net","left"
"disintegrator.blogspot.com","right"
"dissectleft.blogspot.com","right"
"dividedloyalties.net","right"
"diypolitics.blogdrive.com","left"
"dizzy-girl.net/index.php","right"
"dmobley.blogspot.com","right"
"dneiwert.blogspot.com","left"
"dogfight04.typepad.com","left"
"dogwooddreams.com/serendipity","right"
"dohiyimir.typepad.com","left"
"dolphinsdock.com/blog","left"
"donaldsensing.com","right"
"donkey2004.blogspot.com","left"
"donspoliticalblog.blogspot.com","left"
"doublespeakez.blogspot.com","left"
"doubter.blogspot.com","left"
"downtownlad.blogspot.com","right"
"drudgereport.com","right"
"drugwarmovie.com/drugwarmovie/weblog/blogger.html","left"
"drumwaster.com","right"
"drunkensamurai.blogspot.com","right"
"duckdaotsu.blogspot.com","left"
"dummocrats.com","right"
"dygital.blogspot.com","left"
"dynamist.com/weblog","right"
"dystopia.blog-city.com","left"
"eastbaykerry.com","left"
"economicswithaface.com/weblog","right"
"edmondthehun.blogspot.com","right"
"eeg3.com","right"
"ejectejecteject.com","right"
"elayneriggs.blogspot.com","left"
"elderbearden.blogspot.com","left"
"electablog.com","left"
"electionprojection.com","right"
"electricvenom.com","right"
"elemming2.blogspot.com","left"
"elevendayempire.com/movabletype","right"
"elfoflight.blogspot.com","left"
"elissa.typepad.com","left"
"eltcamerica.blogspot.com","left"
"emergingdemocraticmajority.com","left"
"emergingdemocraticmajorityweblog.com/donkeyrising","left"
"emilythedog.blogspot.com","right"
"emptyisform.com","left"
"endthenightmare.blogspot.com","left"
"enemykombatant.blogspot.com","left"
"enlightenedbelle.blogspot.com","left"
"epubguy.blogs.com/epubguy","right"
"ergio.blogspot.com","left"
"erickohn.com","right"
"erikack.blogspot.com","right"
"estropundit.blogspot.com","left"
"etalkinghead.com","right"
"etherealgirl.blogspot.com","left"
"evangelicaloutpost.com","right"
"everythingiknowiswrong.com","right"
"evilpundit.com","right"
"fafblog.blogspot.com","left"
"fairshot.org","left"
"farleft.blogspot.com","left"
"fearfulsymmetry.blogspot.com","right"
"fidlet.com","left"
"fiercepoet.com","left"
"firstdownpolitics.com","right"
"flagrancy.net","left"
"flyinspacemonkey.mu.nu","right"
"folkbum.blogspot.com","left"
"fooswah.com","right"
"forewarned.blogspot.com","left"
"franklog.com","right"
"fraterslibertas.com","right"
"freakinliberals.com/blog_a","left"
"frederickclarkson.com","left"
"freedomofthought.com","right"
"freedompress.blogspot.com","left"
"freerepublic.com","right"
"fringeblog.com","right"
"fritzs-thoughts.blogspot.com","right"
"fromtheroots.org","left"
"fuckthisblog.blogspot.com","left"
"futuraworkz.com","left"
"gabeanderson.com/life","left"
"gadflyer.com","left"
"gaijincory.com","left"
"garbage-house.com","left"
"garrulus.ilcannocchiale.it","left"
"gaypatriot.blogspot.com","right"
"gccpundit.blogspot.com","right"
"gcruse.typepad.com","right"
"georgewbush.com/blog","right"
"georgewbush.com","right"
"georgewbuy.blogspot.com","left"
"gerberatetra.blogspot.com","right"
"getdexview.barrennorth.com","right"
"gevkaffeegal.typepad.com/the_alliance","right"
"ghostofaflea.com","right"
"gillaand.blogspot.com","right"
"gindy.blogspot.com","right"
"gisleson.com/blog","left"
"global-equality.org/news/blog/index.shtml","left"
"gloomanddoom.blogspot.com","left"
"gmscorner.blogspot.com","right"
"godubya.com","right"
"goose3five.blogspot.com","left"
"gopandcollege.blogspot.com","right"
"gopandthecity.blogspot.com","right"
"gopbloggers.org","right"
"gopinsight.com","right"
"gotdesign.blogspot.com","right"
"gotzfamily.org/weblog","left"
"gracefotography.com/graceblog/index.php","right"
"grantb88.com","right"
"grassrootsmom.blogspot.com","left"
"grassrootsnation.com","left"
"greaterdemocracy.org","left"
"greatestjeneration.com","right"
"greendogdemocrat.blogspot.com","left"
"greentit.com","left"
"gregpalast.com","left"
"grownups.blogspot.com","right"
"grupo-utopia.com/blog/isou","left"
"gullyborg.typepad.com","right"
"gwbblows.blogspot.com","right"
"hal9000report.blogdrive.com","left"
"halcyondays.info","left"
"happyhomeschooler.blog-city.com","right"
"hasidicgentile.org","right"
"hategun.com","left"
"hathaby.net/weblog.php","right"
"headland.blogspot.com","right"
"healingiraq.blogspot.com","right"
"heathenfolk.warblogs.com/blog","right"
"heavylifting.blogspot.com","right"
"hectorvex.blogspot.com","right"
"hellafaded.blogspot.com","left"
"hellofromparis.blogspot.com","left"
"hellskitchennyc.blogspot.com","left"
"henerd.com","right"
"hereswhatsleft.typepad.com/home","left"
"hereswhatsleft.typepad.com","left"
"heysucka.blogspot.com","left"
"hiddennook.blogspot.com","right"
"higherpieproductions.com","left"
"hijkselur.blogspot.com","right"
"hillcountryviews.blogspot.com","right"
"hipublican.com","right"
"hobsonschoice.us","right"
"hoeffelforsenate.com/blog","left"
"holecard.blogspot.com","right"
"home.att.net/~dbarnhill","left"
"home.att.net/~gentle.reader","left"
"home.earthlink.net/~cdowner","left"
"home.earthlink.net/~fsrhine","left"
"home.earthlink.net/~goodnoughp/index.html","right"
"home.earthlink.net/~heavy-duty","left"
"home.earthlink.net/~jasider","right"
"home.earthlink.net/~juris_doctor_szh","left"
"home.earthlink.net/~kevin.omeara","left"
"home.earthlink.net/~techservant","right"
"home.earthlink.net/~ur_blog","right"
"home.houston.rr.com/skeptical","left"
"home.midsouth.rr.com/joefish","right"
"homepage.mac.com/elisa_camahort/iblog","left"
"homepage.mac.com/georgia.nesmith/iblog/index.html","left"
"homepage.mac.com/jpbarr/myblog","left"
"homespunbloggers.blogspot.com","right"
"homicidalmaniak.com","right"
"hoosierparliament.com","right"
"horologium.net","right"
"hotflashesfromthecampaigntrail.blogspot.com","left"
"hotflashreport.com","left"
"howienfriends.blogspot.com","left"
"hughhewitt.com","right"
"hugozoom.blogspot.com","left"
"iamaugustus.blogspot.com","right"
"ibe.blogspot.com","left"
"ibrutus.com","left"
"iddybud.blogspot.com","left"
"ideastockexchange.com/essays/laubs-mike-interest-politics-web-log.htm","right"
"idiosyncratictendencies.com","left"
"idlehandsmag.com/yellowdog04","left"
"iflipflop.com","left"
"ignatz.blogspot.com","left"
"ihatepatrobertson.com","left"
"ikilledcheguevara.blogspot.com","right"
"ilovecynics.com","left"
"imao.us","right"
"imprescindibile.ilcannocchiale.it","right"
"incite1.blogspot.com","right"
"indcjournal.com","right"
"indepundit.com","right"
"inez2004.com/blogs","left"
"inmyrightmind.com","right"
"insanepreschoolmom.blogspot.com","left"
"instapundit.com","right"
"in-sub-ordination.blogspot.com","left"
"interested-participant.blogspot.com","right"
"interestingtimes.blogspot.com","left"
"interestingtimes.typepad.com","left"
"inthebullpen.com","right"
"iowageek.blogspot.com","right"
"iraqthemodel.blogspot.com","right"
"ironmouth.com","left"
"irregulartimes.com/blogger.html","left"
"isaacspolitics.blogspot.com","right"
"isdl.blogspot.com","right"
"isdl.weblogs.us","right"
"islanddave.blogspot.com","left"
"itlookslikethis.blogeasy.com","left"
"itsabitmuch.blogspot.com","left"
"itsafterglow.blogspot.com","right"
"itscomedowntothis.blogspot.com","right"
"itznewstome.blogspot.com","right"
"ivotedforgeorge.com","left"
"iwantmycountryback.org","left"
"jacklewis.net","right"
"jadbury.com/blog","left"
"jadbury.com","left"
"jadedreality.blogspot.com","left"
"jameswolcott.com","left"
"jamiefeyrer.com","left"
"janegalt.net","right"
"janm.blogspot.com","left"
"jason.unitedworkers.org","left"
"jbcougar.blogspot.com","left"
"j-bradford-delong.net/movable_type","left"
"jcchurch.blogspot.com","left"
"jchristopherfeng.com","right"
"jdeeth.blogspot.com","left"
"jeffblanco.blogdrive.com","right"
"jenjuskhan.blogspot.com","right"
"jeremybrendan.blogspot.com","left"
"jetage.blogspot.com","left"
"jewishworldreview.com","right"
"jewssansfrontieres.blogspot.com","left"
"jg-spot.blogspot.com","right"
"jihadwatch.org","right"
"jimgilliam.com","left"
"jimtreacher.com","left"
"jinkythecat.blogspot.com","left"
"jlynnsmith30.blogspot.com","right"
"jmbzine.com","left"
"joatmoaf.typepad.com/i_love_jet_noise","right"
"joebrent.blogspot.com","left"
"joepublicus.blogspot.com","right"
"johngalt.us","right"
"john.hoke.org","left"
"johnkerrymustlose.com","right"
"johnmccrory.com","left"
"johnnbrown.blogspot.com","right"
"johnnynobody.blogspot.com","left"
"jointhecrowd.blogspot.com","left"
"jokerstotheright.blogspot.com","right"
"joshferguson.blogspot.com","right"
"jospehsmind.blogspot.com","left"
"journals.aol.com/breuvers/madashellnotgoingtotakeitanymore","left"
"journals.aol.com/lily990016/pissoffliberals","right"
"journals.aol.com/mark24609/myblog","right"
"jpandre.blogspot.com","left"
"jperspective.com","right"
"jquinton.com","right"
"jrogg.blogspot.com","right"
"juancole.com","left"
"juandejesus.50megs.com/juancomments.html","left"
"julietterossant.com/superchefblog/superchefblog.html","left"
"juliusblog.blogspot.com","left"
"juntoboys.blogspot.com","right"
"justalkin.us","right"
"justmark.com","left"
"kalblog.com","right"
"karlhenderson.blogspot.com","left"
"karmicsoup.blogspot.com","left"
"katyggls.blogspot.com","left"
"kausfiles.com","right"
"kcdems.blogspot.com","left"
"keithy1028.bravejournal.com","right"
"kellipundit.blogspot.com","right"
"kensain.com","left"
"kenshepherd.blogspot.com","right"
"kerryforpresident2008.blogspot.com","left"
"kerrytalkingpoints.blogspot.com","left"
"kevincourser.blogspot.com","right"
"kicktheleftist.blogspot.com","left"
"kiersten.connersax.com","left"
"kimdutoit.com/dr/weblog.php","right"
"king-of-fools.com","right"
"kiosan.blogharbor.com","left"
"kippsblog.com","left"
"kitchennetwork.blogspot.com","right"
"kristyandotherwise.blogspot.com","left"
"kurtkk.blogspot.com","left"
"kushreport.com","right"
"kydem.blogspot.com","left"
"la4israel.org/wordpress","right"
"labandadelbuko.ilcannocchiale.it","left"
"ladymac.com","right"
"lagernik.blogspot.com","left"
"lahargis.blogspot.com","right"
"lancehaun.com","right"
"larsonreport.com","right"
"lashawnbarber.blogspot.com","right"
"lashawnbarber.com","right"
"lastdaysoftherepublic.fatoprofugus.net","left"
"laughatliberals.com","right"
"laughingwolf.net","right"
"lawdork.blogspot.com","left"
"lawguy.blogspot.com","right"
"laylasblog.com","left"
"leanleft.com","left"
"leavethematrix.blogspot.com","left"
"left2right.typepad.com","left"
"leftcoastconservative.blogspot.com","right"
"lefterer.com","left"
"lefti.blogspot.com","left"
"leftinthereign.blogspot.com","left"
"leftnuts.com/runcms/modules/news","right"
"leftthought.blogspot.com","left"
"lefttimes.com","left"
"leftwingnation.com","left"
"legendgames.net/myblog.asp","right"
"lendmesomesugar.blogs.com/shut_up_already","left"
"lennonreport.blogspot.com","left"
"leonards-digest.blogspot.com","left"
"lettherebepeace.blogspot.com","left"
"liberalangst.org","left"
"liberalavenger.com","left"
"liberaleric.blogspot.com","left"
"liberaloasis.com","left"
"liberalreview.blogspot.com","left"
"liberalthunderdome.blogspot.com","left"
"liberationlearning.blogspot.com","left"
"libertarianjackass.blogspot.com","right"
"life.laptoplobbyist.com","right"
"lightupthedarkness.org/blog/default.asp","left"
"lightupthedarkness.org","left"
"limecoconut.blogspot.com","left"
"limericksavant.blogspot.com","left"
"liquidlist.com","left"
"literarybargainville.net","left"
"literatevalues.org/virtue.htm","right"
"littlegreenfootballs.com/weblog","right"
"littlegreenfootballs.com/weblog/weblog.php","right"
"littletinylies.com","right"
"livejournal.com/~dailyapple","left"
"livejournal.com/~ladywriter_mts","left"
"livejournal.com/users/bambenek","right"
"livejournal.com/users/hoptkov","left"
"livejournal.com/users/jmhm","left"
"livinginbabylon.blogspot.com","right"
"loadedmouth.com","left"
"lonewacko.com","right"
"longdukdong44.blogspot.com","right"
"loosecoin.blogspot.com","right"
"lorenjavier.blogspot.com","left"
"loud-liberal.blogspot.com","left"
"louisville.edu/~bebusc02/blog/notarobot.html","right"
"loveamericahatebush.com","left"
"lowrentrat.blogdrive.com","left"
"ltobs.blogspot.com","left"
"lt-smash.us","right"
"lucianne.com","right"
"ludis.blogspot.com","left"
"ludovicspeaks.typepad.com","left"
"ludovicspeaks.typepad.com/real_deal","left"
"luxeword.com","right"
"madamepresident2020.blogspot.com","left"
"madanthony.org","right"
"made4theinternet.blogspot.com","right"
"madkane.com/notable.html","left"
"madtechspeaks.blogspot.com","right"
"maggiespants.co.uk","left"
"magnificentfreedom.us","right"
"mahablog.com","left"
"manifestcontent.net","right"
"mantic.squarespace.com","right"
"marcbrazeau.blogspot.com","left"
"margaretcho.com/blog/blog.htm","left"
"margieburns.com","left"
"mariestwocents.blogspot.com","right"
"markadams.blogdrive.com","left"
"markarkleiman.com","left"
"markch.blogspot.com","left"
"markheimonen.blogspot.com","right"
"markmeador.blogspot.com","right"
"marknicodemo.blogspot.com","right"
"markschmitt.typepad.com/decembrist","left"
"marksteyn.com","right"
"markwarnerforpresident2008.blogspot.com","left"
"martadonayre.com","left"
"martinipundit.com","right"
"martydee.com/poligov","right"
"maruthecrankpot.blogspot.com","left"
"marylandpolitics.blogspot.com","right"
"masononline.biz","right"
"massachusetts-liberal.com","left"
"mathewgross.com/blog","left"
"mathewgross.com","left"
"matthewstinson.com/blog","right"
"matthewyglesias.com","left"
"mattresspolice.com","right"
"maultasch.us","left"
"maxspeak.org/mt","left"
"maybeithinktoomuch.com","right"
"mayflowerhill.blogspot.com","left"
"mc256.blogspot.com","right"
"mcpheet.com","right"
"mcwil.blogspot.com","left"
"mdcbowen.org/cobb","right"
"meanspirit.blogspot.com","left"
"meateatingleftist.com","left"
"meckz.net","right"
"mediajunkie.com/edgewise","left"
"mediaprima.com/nv1962","left"
"members.aol.com/ourprez08","left"
"members.cox.net/aaronjohn","left"
"mementomoron.blogspot.com","right"
"mercreport.blogspot.com","right"
"messengerpuppet.com/blog","left"
"messopotamian.blogspot.com","right"
"metallicity.com/mb.asp","right"
"metropol47.blogspot.com","left"
"mhking.mu.nu","right"
"michael124.blogspot.com","left"
"michaelberube.com","left"
"michaelphillips.blogspot.com","left"
"michaelsavagelistener.blog-city.com","right"
"michaeltotten.com","right"
"michellemalkin.com","right"
"mickikrimmel.com/redcarpet","left"
"midguard.blogspot.com","left"
"midwestrightwingers.blogspot.com","right"
"mikesamerica.blogspot.com","right"
"millers_time.typepad.com","right"
"minagahet.blogspot.com","left"
"mindspring.com/~gsb3/blogger.html","right"
"mirocat.com","left"
"misschin.bloggage.com","left"
"missourikid.blog-city.com","left"
"miss-sassafras.com","left"
"mixtersmix.blogspot.com","left"
"mobile.blogcastlive.com","right"
"montages.blogspot.com","left"
"moorewatch.com","right"
"mostlycajun.com","right"
"motgs.com","right"
"moxiegrrrl.com","left"
"mrleft.org","left"
"mrstevebeers.blogspot.com","left"
"msnbc.msn.com/id/3449870","left"
"mstabile.blogspot.com","left"
"mtvirtus.blogspot.com","right"
"mudandphud.blogspot.com","right"
"mudvillegazette.com","right"
"multitudes.typepad.com","left"
"musicfromthebluelight.com/b","right"
"mwilliams.info","right"
"my2cent.blogspot.com","right"
"myaisling.blogspot.com","right"
"mycatharsis.com","right"
"mydamascusroad.blogspot.com","right"
"mydd.com","left"
"myducksoup.com/blog/bloglib/bloglib.shtml","left"
"myechochamber.blogspot.com","right"
"myleftbrain.com","left"
"myleftthoughts.blogspot.com","left"
"mypetjawa.mu.nu","right"
"mysterypollster.com/main","left"
"myworldview034.blogspot.com","right"
"nakedrepublic.com","right"
"nashvilletruth.blogspot.com","right"
"nastyboys.blogspot.com","left"
"nathancallahan.com","left"
"nathannewman.org/log","left"
"nationalbird.net","right"
"nationalcenter.org/blog.html","right"
"nationalnewsregister.com/modules/wordpress","right"
"nationalreview.com/frum/frum-diary.asp","left"
"nationalreview.com/thecorner/corner.asp","right"
"nationalreview.com/thecorner","right"
"ndnblog.org","left"
"nearouterheaven.blogspot.com","left"
"nebursworld.blogspot.com","left"
"needlenose.com","left"
"nelslindahl.net","right"
