"","FamilyA","FamilyB"
"149","Guasconi","Strozzi"
"150","Guicciardini","Acciaiuoli"
"151","Guicciardini","Albizzi"
"152","Guicciardini","Bischeri"
"153","Guicciardini","Guadagni"
"154","Guicciardini","Medici"
"155","Guicciardini","Peruzzi"
"156","Guicciardini","Valori"
"157","Lamberteschi","Guadagni"
"158","Lapi","Davanzati"
"159","Macinghi","Strozzi"
"160","Mancini","Guasconi"
"161","Manelli","Baldovinetti"
"162","Manelli","Strozzi"
"163","Manovelli","Baronci"
"164","Manovelli","Peruzzi"
"165","Martelli","Dall'Antella"
"166","Martelli","Bartolini"
"167","Masi","Peruzzi"
"168","Medici","Acciaiuoli"
"169","Medici","Albizzi"
"170","Medici","Barbadori"
"171","Medici","Bardi"
"172","Medici","Cavalcanti"
"173","Medici","Corbinelli"
"174","Medici","Fioravanti"
"175","Medici","Gianfigliazzi"
"176","Medici","Giugni"
"177","Medici","Guasconi"
"178","Medici","Guicciardini"
"179","Medici","Pecori"
"180","Medici","Pitti"
"181","Medici","Popoleschi"
"182","Medici","Portinari"
"183","Medici","Ridolfi"
"184","Medici","Salviati"
"185","Medici","Serristori"
"186","Medici","Tornabuoni"
"187","Medici","Vecchietti"
"188","Minerbetti","Strozzi"
"189","Nasi(?)","Capponi"
"190","Nerli","Albizzi"
"191","Orlandini","Davanzati"
"192","Orlandini","Pucci"
"193","Del_Palagio","Albizzi"
"194","Del_Palagio","Panciatichi"
"195","Panciatichi","Albizzi"
"196","Panciatichi","Bucelli"
"197","Panciatichi","Gianfigliazzi"
"198","Panciatichi","Del_Palagio"
"199","Panciatichi","Peruzzi"
"200","Panciatichi","Ricasoli"
"201","Panciatichi","Strozzi"
"202","Pandolfini","Giugni"
"203","Pandolfini","Valori"
"204","Da_Panzano","Ricasoli"
"205","Da_Panzano","Sacchetti"
"206","Parenti","Strozzi"
"207","Pazzi","Ricasoli"
"208","Pazzi","Salviati"
"209","Pecori","Medici"
"210","Pepi","Castellani"
"211","Peruzzi","Ardinghelli"
"212","Peruzzi","Benizzi"
"213","Peruzzi","Bischeri"
"214","Peruzzi","Castellani"
"215","Peruzzi","Frescobaldi"
"216","Peruzzi","Gianfigliazzi"
"217","Peruzzi","Guasconi"
"218","Peruzzi","Guicciardini"
"219","Peruzzi","Manovelli"
"220","Peruzzi","Masi"
"221","Peruzzi","Panciatichi"
"222","Peruzzi","Ricasoli"
"223","Peruzzi","Rossi"
"224","Peruzzi","Strozzi"
"225","Peruzzi","Da_Uzzano"
"226","Pitti","Medici"
"227","Pitti","Strozzi"
"228","Popoleschi","Medici"
"229","Popoleschi","Tornabuoni"
"230","Portinari","Medici"
"231","Pucci","Orlandini"
"232","Raugi","Baroncelli"
"233","Ricasoli","Barbadori"
"234","Ricasoli","Della_Casa"
"235","Ricasoli","Castellani"
"236","Ricasoli","Gianfigliazzi"
"237","Ricasoli","Guasconi"
"238","Ricasoli","Panciatichi"
"239","Ricasoli","Da_Panzano"
"240","Ricasoli","Pazzi"
"241","Ricasoli","Peruzzi"
"242","Ricasoli","Spini"
"243","Ridolfi","Medici"
"244","Ridolfi","Strozzi"
"245","Ridolfi","Tanagli"
"246","Ridolfi","Tornabuoni"
"247","Rondinelli","Dall'Antella"
"248","Rondinelli","Castellani"
"249","Rondinelli","Gianfigliazzi"
"250","Rondinelli","Guasconi"
"251","Rondinelli","Strozzi"
"252","Rossi","Ardinghelli"
"253","Rossi","Peruzzi"
"254","Rucellai","Strozzi"
"255","Sacchetti","Capponi"
"256","Sacchetti","Da_Panzano"
"257","Sacchetti","Strozzi"
"258","Salviati","Frescobaldi"
"259","Salviati","Medici"
"260","Salviati","Pazzi"
"261","Scambrilla","Spini"
"262","Dello_Scarfa","Federighi"
"263","Scolari","Albizzi"
"264","Scolari","Aldobrandini"
"265","Scolari","Guadagni"
"266","Di_Ser_Segna","Guasconi"
"267","Serragli","Bardi"
"268","Serragli","Capponi"
"269","Serristori","Medici"
"270","Soderini","Strozzi"
"271","Solosmei","Bartoli"
"272","Spini","Altoviti"
"273","Spini","Guasconi"
"274","Spini","Ricasoli"
"275","Spini","Scambrilla"
"276","Strozzi","Adimari"
"277","Strozzi","Aldobrandini"
"278","Strozzi","Dall'Antella"
"279","Strozzi","Ardinghelli"
"280","Strozzi","Baldovinetti"
"281","Strozzi","Bardi"
"282","Strozzi","Bischeri"
"283","Strozzi","Brancacci"
"284","Strozzi","Carducci"
"285","Strozzi","Castellani"
"286","Strozzi","Cavalcanti"
"287","Strozzi","Gianfigliazzi"
"288","Strozzi","Guasconi"
"289","Strozzi","Macinghi"
"290","Strozzi","Manelli"
"291","Strozzi","Minerbetti"
"292","Strozzi","Panciatichi"
"293","Strozzi","Parenti"
"294","Strozzi","Peruzzi"
"295","Strozzi","Pitti"
"296","Strozzi","Ridolfi"
"297","Strozzi","Rondinelli"
"298","Strozzi","Rucellai"
"299","Strozzi","Sacchetti"
"300","Strozzi","Soderini"
"301","Tanagli","Alessandri"
"302","Tanagli","Ridolfi"
"303","Tornabuoni","Guadagni"
"304","Tornabuoni","Medici"
"305","Tornabuoni","Popoleschi"
"306","Tornabuoni","Ridolfi"
"307","Da_Uzzano","Bardi"
"308","Da_Uzzano","Peruzzi"
"309","Valori","Donati"
"310","Valori","Giugni"
"311","Valori","Guicciardini"
"312","Valori","Pandolfini"
"313","Vecchietti","Medici"
"314","Vettori","Capponi"
