Disease ID,Disorder name,Gene symbols,OMIM ID,Chromosome,Class
29,"Achromatopsia-3, 262300 (3)","CNGB3, ACHM3",605080,8q21-q22,Ophthamological
29,Achromatopsia-4 (3),"GNAT2, ACHM4",139340,1p13,Ophthamological
30,"Acid-labile subunit, deficiency of (3)","IGFALS, ALS",601489,16p13.3,Endocrine
31,"Acquired long QT syndrome, susceptibility to (3)","KCNH2, LQT2, HERG",152427,7q35-q36,Cardiovascular
32,"Acrocallosal syndrome, 200990 (3)","GLI3, PAPA, PAPB, ACLS",165240,7p13,multiple
33,"Acrocapitofemoral dysplasia, 607778 (3)","IHH, BDA1",600726,2q33-q35,Skeletal
34,"Acrodermatitis enteropathica, 201100 (3)","SLC39A4, ZIP4",607059,8q24.3,Dermatological
36,"Acrokeratosis verruciformis, 101900 (3)","ATP2A2, ATP2B, DAR",108740,12q23-q24.1,Dermatological
38,"Acromegaly, 102200 (3)","GNAS, GNAS1, GPSA, POH, PHP1B,
PHP1A, AHO",139320,20q13.2,Endocrine
38,"Acromegaly, 102200 (3)",SSTR5,182455,16p13.3,Endocrine
39,"Acromesomelic dysplasia, Hunter-Thompson type, 201250 (3)","GDF5, CDMP1",601146,20q11.2,Skeletal
39,"Acromesomelic dysplasia, Maroteaux type, 602875 (3)","NPR2, ANPRB, AMDM",108961,9p21-p12,Skeletal
44,"Acyl-CoA dehydrogenase, long chain, deficiency of (3)","ACADL, LCAD",201460,2q34-q35,Metabolic
44,"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)","ACADM, MCAD",607008,1p31,Metabolic
44,"Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)","ACADS, SCAD",606885,12q22-qter,Metabolic
45,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980 (3)",EGFR,131550,7p12.3-p12.1,Cancer
45,"Adenocarcinoma of lung, somatic, 211980 (3)",BRAF,164757,7q34,Cancer
45,"Adenocarcinoma of lung, somatic, 211980 (3)","ERBB2, NGL, NEU, HER2",164870,17q21.1,Cancer
45,"Adenocarcinoma of lung, somatic, 211980 (3)","PRKN, PARK2, PDJ",602544,6q25.2-q27,Cancer
45,"Adenocarcinoma, ovarian, somatic (3)","PRKN, PARK2, PDJ",602544,6q25.2-q27,Cancer
46,"Adenoma, periampullary (3)","APC, GS, FPC",175100,5q21-q22,Cancer
47,"Adenomas, multiple colorectal, 608456 (3)",MUTYH,604933,1p34.3-p32.1,Cancer
47,"Adenomas, salivary gland pleomorphic, 181030 (3)","PLAG1, SGPA, PSA",603026,8q12,Cancer
47,Adenomatous polyposis coli (3),"APC, GS, FPC",175100,5q21-q22,Cancer
47,"Adenomatous polyposis coli, attenuated (3)","APC, GS, FPC",175100,5q21-q22,Cancer
49,"Adenosine deaminase deficiency, partial, 102700 (3)",ADA,608958,20q13.11,Immunological
50,"Adenylosuccinase deficiency, 103050 (3)",ADSL,608222,22q13.1,Metabolic
52,Adiponectin deficiency (3),"APM1, GBP28",605441,3q27,Endocrine
2053,"Adrenal adenoma, sporadic (3)",MEN1,131100,11q13,Cancer
2054,"Adrenal cortical carcinoma, 202300 (3)","TP53, P53, LFS1",191170,17p13.1,Cancer
53,"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency (3)","CYP11B1, P450C11, FHI",202010,8q21,Endocrine
53,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency (3)","CYP21A2, CYP21, CA21H",201910,6p21.3,Endocrine
53,"Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency,
201750 (3)",POR,124015,7q11.2,Endocrine
53,"Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism, 300200 (3)","DAX1, AHC, AHX, NROB1",300473,Xp21.3-p21.2,Endocrine
2055,Adrenocortical insufficiency without ovarian defect (3),"FTZF1, FTZ1, SF1",184757,9q33,Endocrine
54,"Adrenocortical tumor, somatic (3)","PRKAR1A, TSE1, CNC1, CAR",188830,17q23-q24,Cancer
55,"Adrenocorticotropic hormone deficiency, 201400 (3)",TBS19,604614,1q23-q24,Endocrine
56,"Adrenoleukodystrophy, 300100 (3)","ABCD1, ALD, AMN",300371,Xq28,Neurological
56,"Adrenoleukodystrophy, neonatal, 202370 (3)","PEX10, NALD",602859,Chr.1,Neurological
56,"Adrenoleukodystrophy, neonatal, 202370 (3)","PEX13, ZWS, NALD",601789,2p15,Neurological
56,"Adrenoleukodystrophy, neonatal, 202370 (3)","PEX1, ZWS1",602136,7q21-q22,Neurological
56,"Adrenoleukodystrophy, neonatal, 202370 (3)",PEX26,608666,22q11.21,Neurological
56,"Adrenoleukodystrophy, neonatal, 202370 (3)","PXR1, PEX5, PTS1R",600414,12p13.3,Neurological
57,"Adrenomyeloneuropathy, 300100 (3)","ABCD1, ALD, AMN",300371,Xq28,Metabolic
58,"Adult i phenotype with congenital cataract, 110800 (3)",GCNT2,600429,6p24-p23,Hematological
58,"Adult i phenotype without cataract, 110800 (3)",GCNT2,600429,6p24-p23,Hematological
59,"ADULT syndrome, 103285 (3)","TP73L, TP63, KET, EEC3, SHFM4, LMS,
RHS",603273,3q27,multiple
60,"Advanced sleep phase syndrome, familial, 604348 (3)","PER2, FASPS, KIAA0347",603426,2q37.3,Neurological
61,"Afibrinogenemia, 202400 (3)",FGA,134820,4q28,Hematological
61,"Afibrinogenemia, congenital, 202400 (3)",FGB,134830,4q28,Hematological
63,"Agammaglobulinemia, 601495 (3)","IGHM, MU",147020,14q32.33,Hematological
63,"Agammaglobulinemia, autosomal recessive (3)","IGLL1, IGO, IGL5, VPREB2",146770,22q11.21,Hematological
63,"Agammaglobulinemia, non-Bruton type, 601495 (3)","LRRC8, KIAA1437",608360,9q34.13,Hematological
63,"Agammaglobulinemia, type 1, X-linked (3)","BTK, AGMX1, IMD1, XLA, AT",300300,Xq21.3-q22,Hematological
64,AGAT deficiency (3),"GATM, AGAT",602360,15q15.3,Metabolic
65,"Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3)","SLC12A6, KCC3A, KCC3B, KCC3,
ACCPN",604878,15q13-q14,Neurological
69,"AICA-ribosiduria due to ATIC deficiency, 608688 (3)","ATIC, PURH, AICAR",601731,2q35,Metabolic
70,"AIDS, delayed/rapid progression to (3)","KIR3DL1, NKAT3, NKB1, AMB11,
KIR3DS1",604946,19q13.4,Immunological
70,"AIDS, rapid progression to, 609423 (3)",IFNG,147570,12q14,Immunological
70,"AIDS, resistance to (3)","CXCL12, SDF1",600835,10q11.1,Immunological
71,"Alagille syndrome, 118450 (3)","JAG1, AGS, AHD",601920,20p12,multiple
72,"Albinism, brown oculocutaneous, (3)","OCA2, P, PED, D15S12, BOCA",203200,15q11.2-q12,Dermatological
72,"Albinism, ocular, autosomal recessive (3)","OCA2, P, PED, D15S12, BOCA",203200,15q11.2-q12,Dermatological
72,"Albinism, oculocutaneous, type IA, 203100 (3)",TYR,606933,11q14-q21,Dermatological
72,"Albinism, oculocutaneous, type IB, 606952 (3)",TYR,606933,11q14-q21,Dermatological
72,"Albinism, oculocutaneous, type II (3)","OCA2, P, PED, D15S12, BOCA",203200,15q11.2-q12,Dermatological
72,"Albinism, rufous, 278400 (3)","TYRP1, CAS2, GP75",115501,9p23,Dermatological
74,"Alcohol dependence, susceptibility to, 103780 (3)",HTR2A,182135,13q14-q21,Unclassified
2074,"Alcohol intolerance, acute (3)",ALDH2,100650,12q24.2,Metabolic
75,"Alcoholism, susceptibility to, 103780 (3)",GABRA2,137140,4p13-p12,Unclassified
76,Aldolase A deficiency (3),ALDOA,103850,16q22-q24,Metabolic
77,Aldosterone to renin ratio raised (3),CYP11B2,124080,8q21,Endocrine
78,"Aldosteronism, glucocorticoid-remediable, 103900 (3)","CYP11B1, P450C11, FHI",202010,8q21,Endocrine
79,"Alexander disease, 203450 (3)",GFAP,137780,17q21,multiple
79,"Alexander disease, 203450 (3)","NDUFV1, UQOR1",161015,11q13,multiple
80,"Alkaptonuria, 203500 (3)","HGD, AKU",607474,3q21-q23,Metabolic
82,"Allan-Herndon-Dudley syndrome, 300523 (3)","SLC16A2, DXS128, XPCT",300095,Xq13.2,Neurological
83,"Allergic rhinitis, susceptibility to, 607154 (3)","IL13, ALRH",147683,5q31,Immunological
85,"Alopecia universalis, 203655 (3)","HR, AU",602302,8p21.2,Dermatological
86,"Alpers syndrome, 203700 (3)","POLG, POLG1, POLGA, PEO",174763,15q25,Neurological
87,Alpha-1-antichymotrypsin deficiency (3),"SERPINA3, AACT, ACT",107280,14q32.1,Respiratory
88,Alpha-actinin-3 deficiency (3),ACTN3,102574,11q13-q14,Muscular
90,"Alpha-methylacetoacetic aciduria, 203750 (3)",ACAT1,607809,11q22.3-q23.1,Metabolic
91,Alpha-methylacyl-CoA racemase deficiency (3),AMACR,604489,5p13.2-q11.1,Metabolic
92,"Alpha-thalassemia/mental retardation syndrome, 301040 (3)","ATRX, XH2, XNP, MRXS3, SHS",300032,Xq13,Hematological
92,"Alpha-thalassemia myelodysplasia syndrome, somatic, 300448 (3)","ATRX, XH2, XNP, MRXS3, SHS",300032,Xq13,Hematological
94,"Alport syndrome, 301050 (3)","COL4A5, ATS, ASLN",303630,Xq22.3,Renal
94,"Alport syndrome, autosomal recessive, 203780 (3)",COL4A3,120070,2q36-q37,Renal
94,"Alport syndrome, autosomal recessive, 203780 (3)",COL4A4,120131,2q36-q37,Renal
95,"Alstrom syndrome, 203800 (3)","ALMS1, ALSS, KIAA0328",606844,2p13,Neurological
96,"Alternating hemiplegia of childhood, 104290 (3)","ATP1A2, FHM2, MHP2",182340,1q21-q23,Neurological
97,"Alveolar soft-part sarcoma, 606243 (3)","ASPCR1, RCC17, ASPL, ASPS",606236,17q25,Cancer
98,"Alzheimer disease-1, APP-related (3)","APP, AAA, CVAP, AD1",104760,21q21,Neurological
98,"Alzheimer disease-2, 104310 (3)","APOE, AD2",107741,19q13.2,Neurological
98,"Alzheimer disease-4, 606889 (3)","PSEN2, AD4, STM2",600759,1q31-q42,Neurological
98,"Alzheimer disease, late-onset, 104300 (3)","APBB2, FE65L1",602710,4p14,Neurological
98,"Alzheimer disease, late-onset, susceptibility to, 104300 (3)",NOS3,163729,7q36,Neurological
98,"Alzheimer disease, late-onset, susceptibility to, 104300 (3)","PLAU, URK",191840,10q24,Neurological
98,"Alzheimer disease, susceptibility to, 104300 (3)","ACE, DCP1, ACE1",106180,17q23,Neurological
98,"Alzheimer disease, susceptibility to, 104300 (3)",MPO,606989,17q23.1,Neurological
98,"Alzheimer disease, susceptibility to, 104300 (3)","PACIP1, PAXIP1L, PTIP",608254,7q36,Neurological
98,"Alzheimer disease, susceptibility to (3)",A2M,103950,12p13.3-p12.3,Neurological
98,"Alzheimer disease, susceptibility to (3)","BLMH, BMH",602403,17q11.2,Neurological
98,"Alzheimer disease, type 3, 607822 (3)","PSEN1, AD3",104311,14q24.3,Neurological
98,"Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822 (3)","PSEN1, AD3",104311,14q24.3,Neurological
98,"Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822 (3)","PSEN1, AD3",104311,14q24.3,Neurological
99,"Amelogenesis imperfecta 2, hypoplastic local, 104500 (3)",ENAM,606585,4q21,Bone
99,"Amelogenesis imperfecta, 301200 (3)","AMELX, AMG, AIH1, AMGX",300391,Xp22.3-p22.1,Bone
99,"Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism, 104510
(3)","DLX3, TDO",600525,17q21.3-q22,Bone
99,"Amelogenesis imperfecta, hypoplastic, and openbite malocclusion, 608563 (3)",ENAM,606585,4q21,Bone
99,"Amelogenesis imperfecta, pigmented hypomaturation type, 204700 (3)","KLK4, EMSP1, PRSS17",603767,19q13.3-q13.4,Bone
100,"Amish infantile epilepsy syndrome, 609056 (3)","SIAT9, ST3GALV",604402,2p11.2,Neurological
101,"AMP deaminase deficiency, erythrocytic (3)",AMPD3,102772,11pter-p13,Hematological
102,"Amyloid neuropathy, familial, several allelic types (3)","TTR, PALB",176300,18q11.2-q12.1,Neurological
103,"Amyloidosis, 3 or more types (3)",APOA1,107680,11q23,Neurological
103,"Amyloidosis, cerebroarterial, Dutch type (3)","APP, AAA, CVAP, AD1",104760,21q21,Neurological
103,"Amyloidosis, Finnish type, 105120 (3)",GSN,137350,9q34,Neurological
103,"Amyloidosis, hereditary renal, 105200 (3)",FGA,134820,4q28,Neurological
103,"Amyloidosis, renal, 105200 (3)",LYZ,153450,Chr.12,Neurological
103,"Amyloidosis, senile systemic (3)","TTR, PALB",176300,18q11.2-q12.1,Neurological
104,"Amyotrophic lateral sclerosis 8, 608627 (3)","VAPB, VAPC, ALS8",605704,20q13.3,Neurological
104,"Amyotrophic lateral sclerosis, due to SOD1 deficiency, 105400 (3)","SOD1, ALS1",147450,21q22.1,Neurological
104,"Amyotrophic lateral sclerosis, juvenile, 205100 (3)","ALS2, ALSJ, PLSJ, IAHSP",606352,2q33,Neurological
104,"Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)",DCTN1,601143,2p13,Neurological
104,"Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)",NEFH,162230,22q12.2,Neurological
104,"Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)",PRPH,170710,12q12-q13,Neurological
105,Analbuminemia (3),ALB,103600,4q11-q13,Hematological
107,"Analgesia from kappa-opioid receptor agonist, female-specific (3)",MC1R,155555,16q24.3,Unclassified
108,"Anderson disease, 607689 (3)","SARA2, SAR1B, CMRD",607690,5q31.1,Gastrointestinal
109,"Androgen insensitivity, 300068 (3)","AR, DHTR, TFM, SBMA, KD, SMAX1",313700,Xq11-q12,Endocrine
110,"Anemia, congenital dyserythropoietic, type I, 224120 (3)","CDAN1, CDA1",607465,15q15,Hematological
110,"Anemia, Diamond-Blackfan, 105650 (3)","RPS19, DBA",603474,19q13.2,Hematological
110,"Anemia, hemolytic, due to PK deficiency (3)","PKLR, PK1",266200,1q21,Hematological
110,"Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)","NT5C3, UMPH1, PSN1",606224,7p15-p14,Hematological
110,"Anemia, hemolytic, Rh-null, regulator type, 268150 (3)","RHAG, RH50A",180297,6p21.1-p11,Hematological
110,"Anemia, hypochromic microcytic, 206100 (3)",NRAMP2,600523,12q13,Hematological
110,"Anemia, neonatal hemolytic, fatal and near-fatal (3)",SPTB,182870,14q22-q23.2,Hematological
110,"Anemia, sideroblastic/hypochromic (3)","ALAS2, ANH1, ASB",301300,Xp11.21,Hematological
110,"Anemia, sideroblastic, with ataxia, 301310 (3)","ABCB7, ABC7, ASAT",300135,Xq13.1-q13.3,Hematological
2112,"Aneurysm, familial arterial (3)",COL3A1,120180,2q31,Unclassified
113,"Angelman syndrome, 105830 (3)","MECP2, RTT, PPMX, MRX16, MRX79",300005,Xq28,Developmental
113,"Angelman syndrome, 105830 (3)","UBE3A, ANCR",601623,15q11-q13,Developmental
114,"Angioedema, hereditary, 106100 (3)","C1NH, HAE1, HAE2, SERPING1",606860,11q11-q13.1,Immunological
114,"Angioedema induced by ACE inhibitors, susceptibility to (3)",XPNPEP2,300145,Xq25,Immunological
115,"Angiofibroma, sporadic (3)",MEN1,131100,11q13,Endocrine
117,"Angiotensin I-converting enzyme, benign serum increase (3)","ACE, DCP1, ACE1",106180,17q23,Endocrine
118,Anhaptoglobinemia (3),HP,140100,16q22.1,Hematological
119,"Aniridia, type II, 106210 (3)","PAX6, AN2, MGDA",607108,11p13,Ophthamological
121,"Ankylosing spoldylitis, susceptibility to, 106300 (3)",HLA-B,142830,6p21.3,Connective tissue
122,"Anophthalmia 3, 206900 (3)","SOX2, ANOP3",184429,3q26.3-q27,Ophthamological
124,"Anorexia nervosa, susceptibility to, 606788 (3)",HTR2A,182135,13q14-q21,Nutritional
126,Anterior segment anomalies and cataract (3),"EYA1, BOR",601653,8q13.3,Ophthamological
126,"Anterior segment mesenchymal dysgenesis, 107250 (3)","FOXE3, FKHL12, ASMD",601094,1p32,Ophthamological
126,Anterior segment mesenchymal dysgenesis (3),"FOXC1, FKHL7, FREAC3",601090,6p25,Ophthamological
126,"Anterior segment mesenchymal dysgenesis and cataract, 107250 (3)",PITX3,602669,10q25,Ophthamological
127,Antithrombin III deficiency (3),AT3,107300,1q23-q25,Hematological
128,"Antley-Bixler syndrome, 207410 (3)",POR,124015,7q11.2,Unclassified
129,Anxiety-related personality traits (3),"SLC6A4, HTT, OCD1",182138,17q11.1-q12,Psychiatric
130,"Aortic aneurysm, ascending, and dissection (3)","FBN1, MFS1, WMS",134797,15q21.1,Cardiovascular
131,"Apert syndrome, 101200 (3)","FGFR2, BEK, CFD1, JWS",176943,10q26,Connective tissue
132,"Aplasia of lacrimal and salivary glands, 180920 (3)",FGF10,602115,5p13-p12,Gastrointestinal
133,"Aplastic anemia, 609135 (3)",IFNG,147570,12q14,Hematological
133,"Aplastic anemia, 609135 (3)","TERC, TRC3, TR",602322,3q21-q28,Hematological
133,"Aplastic anemia, susceptibility to, 609135 (3)","TERT, TCS1, EST2",187270,5p15.33,Hematological
134,"Apnea, postanesthetic (3)","BCHE, CHE1",177400,3q26.1-q26.2,Unclassified
136,"ApoA-I and apoC-III deficiency, combined (3)",APOA1,107680,11q23,Metabolic
136,Apolipoprotein A-II deficiency (3),APOA2,107670,1q21-q23,Metabolic
136,Apolipoprotein C3 deficiency (3),APOC3,107720,11q23,Metabolic
136,Apolipoprotein H deficiency (3),APOH,138700,17q23-qter,Metabolic
137,"Apparent mineralocorticoid excess, hypertension due to (3)","HSD11B2, HSD11K",218030,16q22,Bone
138,Aquaporin-1 deficiency (3),"AQP1, CHIP28, CO",107776,7p14,Unclassified
139,"ARC syndrome, 208085 (3)",VPS33B,608552,15q26.1,Gastrointestinal
140,"Argininemia, 207800 (3)",ARG1,608313,6q23,Metabolic
140,"Argininosuccinic aciduria, 207900 (3)",ASL,608310,7cen-q11.2,Metabolic
142,Aromatase deficiency (3),"CYP19A1, CYP19, ARO",107910,15q21.1,Metabolic
143,"Aromatic L-amino acid decarboxylase deficiency, 608643 (3)",DDC,107930,7p11,Metabolic
144,"Arrhythmogenic right ventricular dysplasia 2, 600996 (3)","RYR2, VTSIP",180902,1q42.1-q43,Cardiovascular
144,"Arrhythmogenic right ventricular dysplasia 8, 607450 (3)","DSP, KPPS2, PPKS2",125647,6p24,Cardiovascular
144,"Arrhythmogenic right ventricular dysplasia, familial, 9, 609040 (3)","PKP2, ARVD9",602861,12p11,Cardiovascular
146,"Arthrogryposis multiplex congenita, distal, type 1, 108120 (3)","TPM2, TMSB, AMCD1, DA1",190990,9p13.2-p13.1,Developmental
146,"Arthrogryposis multiplex congenita, distal, type 2B, 601680 (3)","TNNI2, AMCD2B, DA2B, FSSV",191043,11p15.5,Developmental
147,"Arthropathy, progressive pseudorheumatoid, of childhood, 208230 (3)","WISP3, PPAC, PPD",603400,6q22-q23,Bone
146,"Arthyrgryposis multiplex congenita, distal, type 2B, 601680 (3)","TNNT3, AMCD2B, DA2B, FSSV",600692,11p15.5,Developmental
150,Aspartylglucosaminuria (3),AGA,208400,4q32-q33,Metabolic
151,"Asperger syndrome, 300494 (3)",NLGN3,300336,Xq13,Psychiatric
151,"Asperger syndrome, 300497 (3)","NLGN4, KIAA1260, AUTSX2",300427,Xp22.33,Psychiatric
153,"Asthma, 600807 (3)","PHF11, NYREN34",607796,13q14.1,Respiratory
153,"Asthma, atopic, susceptibility to (3)","MS4A2, FCER1B",147138,11q13,Respiratory
153,"Asthma, dimished response to antileukotriene treatment in, 600807 (3)",ALOX5,152390,10q11.2,Respiratory
153,"Asthma, nocturnal, susceptibility to (3)",ADRB2,109690,5q32-q34,Respiratory
153,"Asthma, susceptibility to, 1, 607277 (3)","PTGDR, AS1",604687,14q22.1,Respiratory
153,"Asthma, susceptibility to, 2, 608584 (3)","GPR154, GPRA, VRR1, PGR14",608595,7p15-p14,Respiratory
153,"Asthma, susceptibility to (3)",HNMT,605238,1p32,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","IL12B, NKSF2",161561,5q31.1-q33.1,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","IL13, ALRH",147683,5q31,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","PLA2G7, PAFAH",601690,6p21.2-p12,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","SCGB3A2, UGRP1",606531,5q31-q34,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","TNF, TNFA",191160,6p21.3,Respiratory
153,"Asthma, susceptibility to, 600807 (3)","UGB, CC10, CCSP, SCGB1A1",192020,11q12.3-q13.1,Respiratory
154,"Ataxia, cerebellar, Cayman type, 601238 (3)","ATCAY, CLAC, KIAA1872",608179,19p13.3,Neurological
154,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3)","APTX, AOA, AOA1",606350,9p13.3,Neurological
154,"Ataxia, episodic (3)","CACNB4, EJM",601949,2q22-q23,Neurological
154,"Ataxia-ocular apraxia-2, 606002 (3)","SETX, SCAR1, AOA2",608465,9q34,Neurological
157,"Ataxia-telangiectasia, 208900 (3)","ATM, ATA, AT1",607585,11q22.3,Immunological
157,"Ataxia-telangiectasia-like disorder, 604391 (3)","MRE11A, MRE11, ATLD",600814,11q21,Immunological
154,"Ataxia with isolated vitamin E deficiency, 277460 (3)","TTPA, TTP1, AVED",600415,8q13.1-q13.3,Neurological
160,"Atelosteogenesis II, 256050 (3)","SLC26A2, DTD, DTDST, D5S1708,
EDM4",606718,5q32-q33.1,Connective tissue
160,"Atelostogenesis, type I, 108720 (3)","FLNB, SCT, AOI",603381,3p14.3,Connective tissue
162,"Athabaskan brainstem dysgenesis syndrome, 601536 (3)","HOXA1, HOX1F, BSAS",142955,7p15.3,Neurological
163,"Atherosclerosis, susceptibility to (3)",ALOX5,152390,10q11.2,Cardiovascular
164,"Atopy, 147050 (3)","SPINK5, LEKTI",605010,5q32,Immunological
164,"Atopy, resistance to, 147050 (3)","HAVCR1, HAVCR",606518,5q33.2,Immunological
164,"Atopy, susceptibility to, 147050 (3)","PLA2G7, PAFAH",601690,6p21.2-p12,Immunological
164,"Atopy, susceptibility to, 147050 (3)","SELP, GRMP",173610,1q23-q25,Immunological
164,"Atopy, susceptibility to (3)","IL4R, IL4RA",147781,16p12.1-p11.2,Immunological
165,"Atransferrinemia, 209300 (3)",TF,190000,3q21,Hematological
166,"Atrial fibrillation, familial, 607554 (3)","KCNE2, MIRP1, LQT6",603796,21q22.1,Cardiovascular
166,"Atrial fibrillation, familial, 607554 (3)","KCNQ1, KCNA9, LQT1, KVLQT1,
ATFB1",607542,11p15.5,Cardiovascular
166,"Atrial septal defect-2, 607941 (3)",GATA4,600576,8p23.1-p22,Cardiovascular
166,Atrial septal defect 3 (3),"MYH6, ASD3, MYHCA",160710,14q12,Cardiovascular
166,"Atrial septal defect with atrioventricular conduction defects, 108900 (3)","NKX2E, CSX",600584,5q34,Cardiovascular
167,"Atrichia with papular lesions, 209500 (3)","HR, AU",602302,8p21.2,Dermatological
168,"Atrioventricular block, idiopathic second-degree (3)","NKX2E, CSX",600584,5q34,Cardiovascular
168,"Atrioventricular septal defect, 600309 (3)","GJA1, CX43, ODDD, SDTY3, ODOD",121014,6q21-q23.2,Cardiovascular
168,"Atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 (3)","CRELD1, AVSD2",607170,3p25.3,Cardiovascular
168,"Atrioventricular septal defect, susceptibility to, 2, 606217 (3)","CRELD1, AVSD2",607170,3p25.3,Cardiovascular
171,"Attention deficit-hyperactivity disorder, susceptibility to, 143465 (3)","DRD5, DRD1B, DRD1L2",126453,4p16.1-p15.3,Psychiatric
173,"Autism, susceptibility to, 209850 (3)",GLO1,138750,6p21.3-p21.2,Psychiatric
173,"Autism, X-linked, 300425 (3)","MECP2, RTT, PPMX, MRX16, MRX79",300005,Xq28,Psychiatric
173,"Autism, X-linked, 300425 (3)",NLGN3,300336,Xq13,Psychiatric
173,"Autism, X-linked, 300495 (3)","NLGN4, KIAA1260, AUTSX2",300427,Xp22.33,Psychiatric
174,"Autoimmune lymphoproliferative syndrome, 601859 (3)","TNFRSF6, APT1, FAS, CD95, ALPS1A",134637,10q24.1,Immunological
174,"Autoimmune lymphoproliferative syndrome, type IA, 601859 (3)","TNFRSF6, APT1, FAS, CD95, ALPS1A",134637,10q24.1,Immunological
174,"Autoimmune lymphoproliferative syndrome, type II, 603909 (3)","CASP10, MCH4, ALPS2",601762,2q33-q34,Immunological
174,"Autoimmune lymphoproliferative syndrome, type IIB, 607271 (3)","CASP8, MCH5",601763,2q33-q34,Immunological
174,"Autoimmune polyglandular disease, type I, 240300 (3)","AIRE, APECED",607358,21q22.3,Immunological
2174,"Autoimmune thyroid disease, susceptibility to 3, 608175 (3)","TG, AITD3",188450,8q24.2-q24.3,Endocrine
175,Autonomic nervous system dysfunction (3),DRD4,126452,11p15.5,Psychiatric
